n_updates,policy_loss,policy_entropy,ep_reward_mean,fps,approxkl,explained_variance,clipfrac,time_elapsed,value_loss,total_timesteps,serial_timesteps,ep_len_mean
181,-0.002351331,0.9512585,78.91213329523802,41,0.010538535,0.8531381785869598,0.12274999,34814.59828424454,34.08499,1448000,362000,66.14
182,0.00012518752,0.78602016,84.20357472516596,40,0.011748475,0.8217103630304337,0.13700001,35006.927315711975,32.85355,1456000,364000,67.0
183,-0.0031816843,0.69773024,89.59108310736715,41,0.011289341,0.8714622110128403,0.12571874,35203.7307472229,22.430895,1464000,366000,62.29
184,-0.007150025,0.75230324,85.2270938365534,40,0.008648759,0.8440147489309311,0.103562504,35397.88752269745,31.735628,1472000,368000,65.75
185,0.0003249707,0.7448012,84.62708245534449,38,0.017855538,0.6654321551322937,0.18224998,35596.58576130867,24.844685,1480000,370000,64.22
186,-0.0024223758,0.60765624,91.52581656329333,39,0.009855258,0.7697155177593231,0.11490626,35806.15497994423,13.447543,1488000,372000,56.52
187,-0.00037442168,0.7484588,88.35919453147798,40,0.019373575,0.8066589534282684,0.19628125,36007.11146020889,10.814087,1496000,374000,69.41
188,-0.004057389,0.7271288,90.53903603691607,37,0.024351776,0.8220650404691696,0.21531248,36203.91548156738,13.912872,1504000,376000,58.96
189,-0.0012406645,0.7224228,81.73277113500983,41,0.013151075,0.8705002069473267,0.14831251,36415.33656024933,14.310405,1512000,378000,60.26
190,0.0027334485,0.7204504,84.0342436285317,37,0.028495532,0.726264238357544,0.19700001,36607.18527626991,26.478836,1520000,380000,61.33
191,-0.0018986228,0.702781,84.3001016325131,40,0.015574285,0.8076768219470978,0.16265626,36819.34524655342,30.28176,1528000,382000,62.17
192,-0.005589965,0.78567225,82.86304742000998,43,0.012353628,0.777139738202095,0.15062502,37015.87639737129,24.125795,1536000,384000,59.52
193,0.0015619654,0.7870407,81.37898186221719,47,0.019674612,0.8402397781610489,0.2067813,37199.21383523941,19.507156,1544000,386000,55.59
